epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3308,2.30206,2.81833,1.7105,0.8883,0.49485,0.67148,0.29097,1.8491,1.86594,1.44968,0.00016,0.00016,0.00016
2,57.3647,1.67522,1.67734,1.34304,0.81656,0.72165,0.82324,0.57353,1.00849,0.78882,1.05729,0.000333268,0.000333268,0.000333268
3,118.487,1.24731,1.0036,1.18272,0.72824,0.77352,0.84252,0.58791,1.03493,0.83576,1.05033,0.000499408,0.000499408,0.000499408
4,176.442,1.14819,0.87528,1.11195,0.91872,0.81575,0.91967,0.67965,0.96293,0.85086,1.01629,0.00065842,0.00065842,0.00065842
5,200.351,0.98757,0.7844,1.06392,0.94573,0.83505,0.93019,0.72679,0.80979,0.78655,0.96224,0.000810304,0.000810304,0.000810304
6,229.474,0.96108,0.76792,1.04469,0.933,0.86145,0.95025,0.7431,0.79975,0.71682,0.95733,0.00095506,0.00095506,0.00095506
7,265.692,0.89995,0.72598,1.00941,0.96332,0.8866,0.96148,0.75639,0.75133,0.58998,0.93754,0.00109269,0.00109269,0.00109269
8,289.451,0.82944,0.67175,0.98143,0.95733,0.90722,0.96932,0.7944,0.69682,0.52264,0.92803,0.00122319,0.00122319,0.00122319
9,312.121,0.87274,0.67512,1.00775,0.96613,0.92784,0.97492,0.79798,0.70127,0.50408,0.92574,0.00134656,0.00134656,0.00134656
10,336.3,0.82049,0.66704,0.99261,0.97844,0.93555,0.97798,0.80988,0.68657,0.49613,0.92155,0.0014628,0.0014628,0.0014628
11,389.935,0.79935,0.65353,0.96815,0.99587,0.93814,0.98586,0.82686,0.61292,0.47724,0.89455,0.00157192,0.00157192,0.00157192
12,409.969,0.76565,0.62626,0.96265,0.99101,0.93814,0.98785,0.83875,0.60412,0.46722,0.88535,0.0015644,0.0015644,0.0015644
13,428.624,0.72829,0.57927,0.95293,0.97861,0.94355,0.98897,0.8395,0.5944,0.45622,0.88008,0.0015248,0.0015248,0.0015248
14,449.494,0.78995,0.60657,0.97555,0.98346,0.95876,0.98763,0.84231,0.58903,0.43698,0.87791,0.0014852,0.0014852,0.0014852
15,471.094,0.7368,0.55963,0.96284,0.98928,0.95166,0.99033,0.83775,0.62382,0.43266,0.88407,0.0014456,0.0014456,0.0014456
16,492.511,0.72784,0.56642,0.94057,0.98261,0.93814,0.99068,0.83757,0.61638,0.43054,0.88247,0.001406,0.001406,0.001406
17,514.249,0.71149,0.5518,0.93217,0.9687,0.94845,0.99109,0.84787,0.57839,0.42039,0.87596,0.0013664,0.0013664,0.0013664
18,536.638,0.70632,0.54837,0.9295,0.98754,0.94845,0.99013,0.84331,0.56828,0.4148,0.87333,0.0013268,0.0013268,0.0013268
19,559.534,0.69392,0.54601,0.94806,0.97516,0.94845,0.98932,0.84599,0.5736,0.40163,0.86684,0.0012872,0.0012872,0.0012872
20,584.514,0.6712,0.52206,0.91435,0.97509,0.94845,0.98928,0.85347,0.5658,0.39881,0.86149,0.0012476,0.0012476,0.0012476
21,608.432,0.69278,0.5049,0.93115,0.97868,0.94845,0.98867,0.85229,0.54245,0.39309,0.85709,0.001208,0.001208,0.001208
22,632.677,0.67499,0.51585,0.92376,0.97771,0.93814,0.98789,0.8551,0.5291,0.38488,0.85568,0.0011684,0.0011684,0.0011684
23,656.197,0.64239,0.5115,0.90052,0.96957,0.92784,0.98816,0.85216,0.51177,0.37465,0.85329,0.0011288,0.0011288,0.0011288
24,679.663,0.65222,0.49845,0.9237,0.95823,0.94606,0.9883,0.85096,0.50622,0.36932,0.85156,0.0010892,0.0010892,0.0010892
25,703.602,0.64433,0.48436,0.90933,0.9579,0.93815,0.98846,0.84832,0.51451,0.37106,0.85232,0.0010496,0.0010496,0.0010496
26,727.6,0.63569,0.48208,0.90675,0.96808,0.93786,0.98811,0.85474,0.51437,0.36755,0.85086,0.00101,0.00101,0.00101
27,751.644,0.67928,0.51272,0.93199,0.97845,0.93629,0.98848,0.8605,0.49959,0.37172,0.84627,0.0009704,0.0009704,0.0009704
28,776.492,0.6141,0.4781,0.89915,0.97852,0.93949,0.98864,0.8534,0.50376,0.37368,0.84595,0.0009308,0.0009308,0.0009308
29,801.603,0.63289,0.48855,0.91581,0.97796,0.94845,0.98883,0.85882,0.50493,0.37473,0.84544,0.0008912,0.0008912,0.0008912
30,827.709,0.63491,0.47863,0.91471,0.97894,0.95826,0.98905,0.86172,0.51056,0.36868,0.84628,0.0008516,0.0008516,0.0008516
31,852.851,0.64175,0.46535,0.92824,0.97439,0.95876,0.98938,0.85628,0.51632,0.36297,0.84732,0.000812,0.000812,0.000812
32,878.473,0.5906,0.44352,0.8986,0.96398,0.95876,0.98901,0.86114,0.50828,0.35609,0.84569,0.0007724,0.0007724,0.0007724
33,902.462,0.62153,0.48761,0.91573,0.9655,0.95876,0.98876,0.86603,0.50477,0.36014,0.84624,0.0007328,0.0007328,0.0007328
34,927.557,0.61663,0.45209,0.90257,0.96579,0.95876,0.98878,0.86091,0.50667,0.36276,0.84714,0.0006932,0.0006932,0.0006932
35,951.884,0.59557,0.45747,0.91775,0.96642,0.95876,0.98869,0.8572,0.50178,0.36265,0.84675,0.0006536,0.0006536,0.0006536
36,976.446,0.63373,0.46088,0.93541,0.96997,0.94845,0.98898,0.86523,0.49676,0.35107,0.84605,0.000614,0.000614,0.000614
37,1000.77,0.60399,0.47077,0.9012,0.98618,0.94845,0.99018,0.86524,0.49766,0.34699,0.8454,0.0005744,0.0005744,0.0005744
38,1028.43,0.58736,0.45262,0.90937,0.98931,0.95447,0.98989,0.86906,0.49863,0.34639,0.84476,0.0005348,0.0005348,0.0005348
39,1052.39,0.57406,0.43226,0.89378,0.97891,0.95697,0.98916,0.86274,0.49481,0.34256,0.84299,0.0004952,0.0004952,0.0004952
40,1078.78,0.54284,0.43397,0.88822,0.97752,0.95876,0.9889,0.86497,0.48787,0.33704,0.84134,0.0004556,0.0004556,0.0004556
41,1102.09,0.49932,0.39445,0.86916,0.97604,0.95876,0.98906,0.86604,0.48327,0.33198,0.84037,0.000416,0.000416,0.000416
42,1128.46,0.50067,0.37929,0.83567,0.97531,0.95876,0.9899,0.86968,0.48179,0.33088,0.83988,0.0003764,0.0003764,0.0003764
43,1152.3,0.5103,0.3828,0.86906,1,0.94747,0.99157,0.87804,0.47867,0.33181,0.83994,0.0003368,0.0003368,0.0003368
44,1175.91,0.47983,0.36761,0.85225,1,0.95553,0.99175,0.87778,0.47929,0.33151,0.84019,0.0002972,0.0002972,0.0002972
45,1198.42,0.51896,0.4002,0.86657,1,0.95661,0.99175,0.8791,0.48154,0.32922,0.84064,0.0002576,0.0002576,0.0002576
46,1220.77,0.50387,0.38294,0.88466,1,0.95554,0.99167,0.87763,0.48251,0.32833,0.84009,0.000218,0.000218,0.000218
47,1243.54,0.49815,0.3766,0.87174,1,0.95592,0.99149,0.87431,0.48414,0.32853,0.83967,0.0001784,0.0001784,0.0001784
48,1267.56,0.51833,0.37945,0.87577,1,0.95511,0.99157,0.8731,0.48482,0.32794,0.83959,0.0001388,0.0001388,0.0001388
49,1290.28,0.48494,0.36639,0.85131,0.99291,0.94845,0.99147,0.8723,0.48355,0.32653,0.83922,9.92e-05,9.92e-05,9.92e-05
50,1313.24,0.48728,0.37042,0.85038,0.99227,0.94845,0.99131,0.87213,0.48207,0.32565,0.83893,5.96e-05,5.96e-05,5.96e-05
