epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.763,1.19115,1.67478,1.43359,0.76766,0.39648,0.5598,0.34982,1.14464,2.29453,1.21214,0.000653061,0.000653061,0.000653061
2,699.847,1.26845,1.3346,1.45473,0.55984,0.48795,0.52355,0.29362,1.54777,1.98971,1.63221,0.00128706,0.00128706,0.00128706
3,1023.79,1.31472,1.29959,1.48757,0.58396,0.62182,0.61298,0.36332,1.41407,1.85984,1.51504,0.00188807,0.00188807,0.00188807
4,1347.61,1.29891,1.17326,1.45239,0.778,0.79273,0.84163,0.52408,1.23864,1.35638,1.31181,0.0018515,0.0018515,0.0018515
5,1663.98,1.28191,1.1316,1.45703,0.76931,0.77612,0.83118,0.51184,1.24201,1.27735,1.26263,0.001802,0.001802,0.001802
6,1970.06,1.23762,1.03375,1.41923,0.7484,0.71389,0.74637,0.49567,1.18654,1.28638,1.34236,0.0017525,0.0017525,0.0017525
7,2284.2,1.23641,1.02022,1.43237,0.74349,0.64182,0.68451,0.39392,1.45839,1.5519,1.4956,0.001703,0.001703,0.001703
8,2591.05,1.23408,0.96597,1.4033,0.77973,0.77273,0.82308,0.52757,1.22525,1.07805,1.32753,0.0016535,0.0016535,0.0016535
9,2907.44,1.19591,0.91581,1.39635,0.7864,0.61455,0.69643,0.46895,1.18045,1.54078,1.35295,0.001604,0.001604,0.001604
10,3226.19,1.2229,0.90105,1.4042,0.81321,0.78367,0.83455,0.54602,1.08453,0.93263,1.21338,0.0015545,0.0015545,0.0015545
11,3541.32,1.15988,0.82951,1.34589,0.87218,0.7692,0.86174,0.58748,1.26732,1.10761,1.29905,0.001505,0.001505,0.001505
12,3853.27,1.18418,0.86671,1.39603,0.83876,0.84545,0.90781,0.59036,1.18935,0.90817,1.26435,0.0014555,0.0014555,0.0014555
13,4155.92,1.18117,0.82721,1.39098,0.86144,0.83646,0.90241,0.62305,1.08416,0.79951,1.21033,0.001406,0.001406,0.001406
14,4468.93,1.1477,0.80726,1.35085,0.84366,0.85636,0.90608,0.62167,1.09281,0.80507,1.19056,0.0013565,0.0013565,0.0013565
15,4774.06,1.13522,0.79557,1.3529,0.84931,0.87455,0.90453,0.66473,0.97489,0.75295,1.14847,0.001307,0.001307,0.001307
16,5161.46,1.10962,0.74359,1.32347,0.89659,0.85091,0.9154,0.58413,1.29978,0.83348,1.25609,0.0012575,0.0012575,0.0012575
17,5495.67,1.13175,0.785,1.34867,0.85906,0.85636,0.90932,0.61239,1.13294,0.84466,1.20371,0.001208,0.001208,0.001208
18,5831.69,1.08651,0.73423,1.29631,0.87342,0.81636,0.88153,0.53841,1.43286,1.09858,1.4033,0.0011585,0.0011585,0.0011585
19,6109.79,1.10217,0.75172,1.33107,0.87506,0.86596,0.92362,0.63783,1.15148,0.75146,1.19172,0.001109,0.001109,0.001109
20,6382.02,1.07354,0.6844,1.30866,0.8896,0.84976,0.91398,0.65644,1.02477,0.80357,1.16257,0.0010595,0.0010595,0.0010595
21,6655.61,1.04359,0.68684,1.27182,0.88894,0.88364,0.93078,0.64205,1.07144,0.72111,1.15138,0.00101,0.00101,0.00101
22,6930.34,1.05753,0.68253,1.29283,0.88286,0.90364,0.94537,0.68417,0.93811,0.64854,1.11092,0.0009605,0.0009605,0.0009605
23,7203.92,1.04714,0.66821,1.29828,0.93437,0.82182,0.92698,0.67767,0.9488,0.71879,1.10921,0.000911,0.000911,0.000911
24,7522.32,1.04037,0.6792,1.27197,0.89281,0.89348,0.93973,0.67247,1.03962,0.70182,1.12252,0.0008615,0.0008615,0.0008615
25,7893.74,1.042,0.65326,1.28333,0.92889,0.85501,0.93947,0.64334,1.14069,0.75404,1.18699,0.000812,0.000812,0.000812
